atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
37281,Mano Menezes,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37457,Léo Condé,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37656,Fábio,GOL,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,219.0,1601.0,22.0,817.0,0.0,0.0,0.0,219.0,2035.5,0.0
37715,Thiago Silva,ZAG,12.0,0.0,25.0,74.0,121.0,144.0,0.0,0,0.0,0.0,133.0,176.0,0.0,11.0,0.0,0.0,165.0,0.0,0.0,0.0,220.0,99.0,12.0,122.0,1349.4,0.05454545454545454
38398,Renato Augusto,MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38913,Nenê,MEI,25.0,57.0,0.0,95.0,94.0,518.0,0.0,0,7.0,0.0,71.0,108.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,95.0,82.0,-37.0,964.3,0.13227513227513227
39148,Hulk,ATA,121.0,96.0,30.0,505.0,733.0,1352.0,0.0,0,222.0,0.0,192.0,708.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0,535.0,217.0,-516.0,3190.2,0.09542586750788644
39656,Alan Franco,MEI,9.0,0.0,0.0,0.0,69.0,332.0,0.0,0,0.0,0.0,688.0,671.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,9.0,17.0,867.5,0.13043478260869565
39850,Vagner Mancini,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40006,Abel Braga,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
